id,location,registered voters,envelopes,valid votes,ANO 2011,Blok proti islam.-Obran.domova,CESTA ODPOVĚDNÉ SPOLEČNOSTI,Dobrá volba 2016,Dělnic.str.sociální spravedl.,Komunistická str.Čech a Moravy,Křesť.demokr.unie-Čs.str.lid.,Občanská demokratická aliance,Občanská demokratická strana,REALISTÉ,"ROZUMNÍ-stop migraci,diktát.EU",Radostné Česko,Referendum o Evropské unii,SPORTOVCI,SPR-Republ.str.Čsl. M.Sládka,STAROSTOVÉ A NEZÁVISLÍ,Strana Práv Občanů,Strana svobodných občanů,Strana zelených,Svob.a př.dem.-T.Okamura (SPD),TOP 09,Česká pirátská strana,Česká str.sociálně demokrat.,Řád národa - Vlastenecká unie
585939,Vizovice,3 872,2 402,2 381,611,4,2,2,2,113,252,3,293,9,9,0,3,2,3,216,35,25,34,273,96,250,129,15
586994,Vlachova Lhota,189,99,98,19,0,0,0,0,6,12,0,17,0,1,0,0,1,0,18,0,1,0,8,1,5,9,0
585955,Vlachovice,1 216,768,761,234,0,0,0,1,55,130,1,34,3,7,1,1,0,1,110,3,8,6,62,17,39,48,0
585963,Vlčková,328,207,206,64,0,0,0,1,12,17,0,18,1,6,0,0,1,1,11,1,1,0,31,6,16,16,3
585971,Všemina,915,602,601,208,0,1,0,0,24,122,3,39,3,3,0,0,1,0,18,12,7,5,70,11,31,43,0
585980,Vysoké Pole,658,366,365,103,1,0,0,0,15,71,0,6,0,2,0,0,1,0,61,0,3,5,35,6,24,32,0
585998,Zádveřice-Raková,1 149,706,699,220,0,2,0,1,44,26,1,75,7,3,1,0,2,0,58,11,9,9,91,23,60,55,1
585068,Zlín,61 206,39 202,38 975,11 686,42,42,31,26,1 828,2 970,44,4 438,359,192,28,30,70,64,3 060,295,802,533,4 403,1 690,3 794,2 411,137
500011,Želechovice nad Dřevnicí,1 598,1 041,1 032,264,1,1,0,0,40,110,1,113,7,6,2,1,0,2,88,8,16,8,144,38,98,84,0
586013,Žlutava,916,624,621,211,0,0,1,1,40,42,0,86,19,3,0,0,1,0,25,5,17,4,63,10,58,30,5
